Emissor;CNPJ;Número de emissão;Serie;Codigo;Setor;Agente Fiduciário;Líder;Banco Mandatário;Incentivada|Lei 12.431;Volume;Data de emissão;Vencimento/Repactuação;Referência|NTN-B;Remuneração;Amortização;Espécie;Tipo de Debênture;Índice de correção
Copel Geração e Transmissão S/A;4370282000170;6;2;CPGT26;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco BTG Pactual SA;Itau Unibanco SA;Sim;200000000;2019-07-15;2025-07-15;2025-05-15;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e última no vencimento;Integral na data do vencimento;Quirografária;IPCA Spread;IPCA + 3,9%
Copel Telecomunicações S/A;4368865000166;1;uni;CTEL11;Telecomunicações;Pentagono SA Dtvm;Banco Abc Brasil SA;Itau Unibanco SA;Sim;160000000;2015-10-15;2024-10-15;2023-05-15;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Abr-2016 e último no vencimento.;Pagamento anual. Primeiro em 15-Out-2020.;Quirografária;IPCA Spread;IPCA + 7,9633%
Copel Telecomunicações S/A;4368865000166;2;Uni;CTEL12;Telecomunicações;Pentagono SA Dtvm;Banco Bradesco SA;Itau Unibanco SA;Sim;220000000;2017-07-15;2022-07-15;2022-08-15;Pagamento semestral, nos dias 15-Jan e 15-Jul. primeiro em 15-Jan-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,4329%
Cosern;8324196000181;7;1;CSRN17;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Sim;271438000;2017-10-15;2022-10-15;2022-08-15;Pagamento anual, primeiro em 15-Out-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 4,6410%
Cosern;8324196000181;7;2;CSRN27;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Sim;98562000;2017-10-15;2024-10-15;2024-08-15;Pagamento anual. primeiro em 15-out-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 4,9102%
Cosern;8324196000181;9;1;CSRN19;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco J Safra SA;Banco Bradesco SA;Sim;179500000;2019-04-17;2026-04-15;2026-08-15;Pagamento Semestral. nos dias 15-out e 15-abr. Primeiro em 15-out-2019;Integral na data do vencimento;Quirografária;IPCA Spread;IPCA + 4,2542%
Cosern;8324196000181;9;2;CSRN29;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco J Safra SA;Banco Bradesco SA;Sim;38500000;2019-04-17;2029-04-15;2028-08-15;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.;3 parcelas em 20-Ago-2027, em 20-Ago-2028 e no vencimento.;Quirografária;IPCA Spread;IPCA  + 4,4986%
Cosern;8324196000181;9;3;CSRN39;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco J Safra SA;Banco Bradesco SA;Não;282000000;2019-04-17;2024-04-15;-;Pagamento Semestral. nos dias 15-out e 15-abr. Primeiro em 15-out-2019;Pagamento anual, nos dias 15-abr. Primeiro em 15-abr-2027 e última no vencimento;Quirografária;DI Percentual;107,25% do DI
CPFL Geracao;3953509000147;11;2;CPGEB1;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;700000000;2018-05-18;2023-05-18;-;Pagamento semestral. nos dias 18-mai e 18-nov. Primeiro em 18-nov-2018 e última no vencimento;2 parcelas: 50% em 18-mai-2022 e 50% em 18-mai-2023;Quirografária;DI Percentual;107,50% do DI
CPFL Piratininga;4172213000151;8;1;CPFP18;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;60000000;2017-02-15;2024-02-15;2023-05-15;Pagamento Semestral. em 15-Ago e 15-Fev. Primeiro em 15-Ago-2017;2 parcelas iguais. Em 15-Fev-2023 e no vencimento;Quirografária;IPCA Spread;IPCA + 5,2901%
CPFL Piratininga;4172213000151;8;2;CPFP28;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Não;246000000;2017-02-15;2022-02-15;-;Pagamento Semestral. nos dias 15-Ago e 15-Fev. Primeiro em 15-Ago-2017;2 parcelas iguais em 15-Fev-2021 e no vencimento;Quirografária;DI Percentual;109,5% do DI
CPFL Renovav;8439659000150;7;Uni;ERSA17;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco J Safra SA;Itau Unibanco SA;Sim;250000000;2017-07-15;2022-07-15;2022-08-15;Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,6227
CPFL Renovav;8439659000150;9;1;CPRE19;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;300000000;2019-05-15;2022-05-15;-;Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2019 e última no vencimento;Integral na data do vencimento;Quirografária;DI Percentual;104,75% do DI
CPFL Renovav;8439659000150;9;2;CPRE29;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;538000000;2019-05-15;2023-11-15;-;Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019;3 parcelas : 33,33% em 15-nov-2022, 50% em  15-mai-2023 e 16,67% no vencimento.;Quirografária;DI Percentual;106% do DI
Cutia Empreendimentos Eólicos SA;10979076000164;1;uni;CUTI11;Administração de empresas e empreendimentos;Pentagono SA Dtvm;Banco Abc Brasil SA;Banco Bradesco SA;Sim;360000000;2019-03-20;2031-12-15;2026-08-15;Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Jun-2019 e último no vencimento.;26 parcelas semestrais. Primeira em 15-Jun-2019 e última no vencimento.;Garantia Real;IPCA Spread;IPCA + 5,8813%
Cvc Brasil;10760260000119;4;1;CVCB14;Transporte turístico;Vortx DTVM Ltda;Banco Santander Brasil SA;Vortx DTVM Ltda;Não;458700000;2019-04-18;2023-04-18;-;Pagamento semestral, nos dias 18-Abr e 18-Out. Primeiro em 18-Out-2019 e último no vencimento.;Integral na data do vencimento.;Quirografária;DI Percentual;108,5% do DI
Cvc Brasil;10760260000119;4;2;CVCB24;Transporte turístico;Vortx DTVM Ltda;Banco Santander Brasil SA;Vortx DTVM Ltda;Não;250000000;2019-04-18;2025-04-18;-;Pagamento semestral, nos dias 18-Abr e 18-Out. Primeiro em 18-Out-2019 e último no vencimento.;2 parcelas iguais em 18-Abr-2024 e no vencimento.;Quirografária;DI Percentual;111,50% do DI
Cyre Com-Ccp;8801621000186;11;1;CCPRA1;Locadora de imóveis;Vortx DTVM Ltda;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;100000000;2019-05-15;2022-05-15;-;Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,70%
Cyre Com-Ccp;8801621000186;11;2;CCPRB1;Locadora de imóveis;Vortx DTVM Ltda;XP Investimentos CCTVM SA;Banco Bradesco SA;Não;200000000;2019-05-15;2024-05-15;-;Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019;2 Parcelas: 50% em 15-mai-2023 e 50% em 15-mai-2024;Quirografária;DI Spread;DI+1,40%
Dasa;61486650000183;8;Uni;DASA18;Laboratório de exames médicos;Pentagono SA Dtvm;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;400000000;2017-08-25;2022-08-25;-;Pagamento semestral, nos dias 25-fev e 25-ago. Primeiro em 25-fev-2018 e última no vencimento;3 parcelas: 33,33% em 25-ago-2020, 33,33% em 25-ago-2021 e 33,34% no vencimento;Quirografária;DI Percentual;108% do DI
Dasa;61486650000183;9;uni;DASA19;Laboratório de exames médicos;Pentagono SA Dtvm;BB Banco de Investimento SA;Banco Bradesco SA;Não;600000000;2018-03-26;2023-03-26;-;Pagamento semestral. nos dias 26-set e 26-mar. Primeiro em 26-set-2018 e última no vencimento;2 parcelas: 50% em 26-mar-2022 e 50% no vencimento;Quirografária;DI Percentual;108,6% do DI
Dasa;61486650000183;10;2;DASAB0;Laboratório de exames médicos;Planner Trustee DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;300000000;2018-12-10;2024-12-10;-;Pagamento semestral. nos dia 10-jun e 10-dez. Primeiro em 10-jun-2019 e última no vencimento;Integral na data do vencimento;Quirografária;DI Percentual;110,50 % do DI
Dasa;61486650000183;10;3;DASAC0;Laboratório de exames médicos;Planner Trustee DTVM Ltda;Banco Bradesco Bbi SA;Banco Bradesco SA;Não;400000000;2018-12-10;2026-12-10;-;Pagamento semestral. nos dias 10-dez e10-jun. Primeiro em 10-dez-2025 e última no vencimento;2 parcelas em 10-dez-2025 e no vencimento;Quirografária;DI Percentual;112,5% do DI
Dasa;61486650000183;11;uni;DASAA1;Laboratório de exames médicos;Planner Trustee DTVM Ltda;Banco BTG Pactual SA;Banco Bradesco SA;Não;400000000;2019-06-10;2026-06-10;-;Pagamento Semestral. nos dias 10-jun e 10-dez. Primeiro em 10-dez-2019;2 Parcelas: 50% em 10-jun-2025 e 50% em 10-jun-2026;Quirografária;DI Percentual;108,50% do DI
Dasa;61486650000183;12;uni;DASAA2;Laboratório de exames médicos;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;500000000;2019-11-25;2024-11-25;-;Pagamento semestrel. nos dias 25-mai e 25-nov. Primeiro em 25-mai-2020;Pagamento anual. no dia 25-nov. Primeiro em 25-nov-2023;Quirografária;DI Spread;DI + 1,20%
Eco135 Concessionaria de Rodovias S/A;30265100000100;1;1;CECO11;Atividades auxiliares ao transporte;Oliveira Trust Dtvm SA;Banco Santander Brasil SA;Banco Bradesco SA;Não;225000000;2018-08-15;2020-08-15;-;Pagamento Trimestral. nos dias 15-nov, 15-jun, 15-mai e 15-ago. Primeiro em 15-nov-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;DI Percentual;117,5% do DI
Ecopistas - Concess Das Rodov Ayrton Senna S/A;10841050000155;1;1;ECPT11;Atividades auxiliares ao transporte rodoviário;Planner Trustee DTVM Ltda;Itau Unibanco SA;Itau Unibanco SA;Não;92500000;2011-01-15;2023-01-15;2021-05-15;Pagamento anual. primeiro em 15-jan-2013.;10 parcelas : primeiro em 15-jan-2013 e última no vencimento.;Garantia Real;IPCA Spread;IPCA + 8,25%
Ecopistas - Concess Das Rodov Ayrton Senna S/A;10841050000155;1;2;ECPT21;Atividades auxiliares ao transporte rodoviário;Planner Trustee DTVM Ltda;Itau Unibanco SA;Itau Unibanco SA;Não;92500000;2011-01-15;2022-04-15;2021-05-15;Pagamento anual. primeiro em 15-abr-2012;10 parcelas. primeiro em 15-abr-2012 e última no vencimento.;Garantia Real;IPCA Spread;IPCA + 8,25%
Ecopistas - Concess Das Rodov Ayrton Senna S/A;10841050000155;1;3;ECPT31;Atividades auxiliares ao transporte rodoviário;Planner Trustee DTVM Ltda;Itau Unibanco SA;Itau Unibanco SA;Não;92500000;2011-01-15;2022-07-15;2021-05-15;Pagamento anual. primeiro em 15-jul-2012;10 parcelas anuais. primeiro em 15-jul-2012 e última no vencimento;Garantia Real;IPCA Spread;IPCA + 8,25%
Ecopistas - Concess Das Rodov Ayrton Senna S/A;10841050000155;1;4;ECPT41;Atividades auxiliares ao transporte rodoviário;Planner Trustee DTVM Ltda;Itau Unibanco SA;Itau Unibanco SA;Não;92500000;2011-01-15;2022-10-15;2021-05-15;Pagamento anual. primeiro em 15-out-2012.;10 parcelas anuais. primeiro em 15-out-2012 e última no vencimento.;Garantia Real;IPCA Spread;IPCA + 8,25%
Ecorodovias Concessoes e Serv SA;8873873000110;2;3;ECCR32;Atividades auxiliares ao transporte rodoviário;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Banco Bradesco SA;Não;400000000;2012-10-15;2022-10-15;2021-05-15;Pagamento anual, nos dias 15-Out. Primeiro em 15-Out-2013 e último no vencimento.;3 parcelas em 15-Out-2020, 15-Out-2021 e 15-Out-2022.;Quirografária;IPCA Spread;IPCA + 5,35%
Ecorodovias Concessoes e Serv SA;8873873000110;6;2;ERDV26;Atividades auxiliares ao transporte rodoviário;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco Bradesco SA;Não;750450000;2017-11-15;2022-11-15;-;Pagamento semestral. nos dias 15-mai e 15-nov. Primeiro em 15-mai-2021 e última no vencimento;Pagamento anual. 50% em 15-11-2021 e 50% no vencimento;Quirografária;DI Percentual;110,25% do DI
Ecorodovias Concessoes e Serv SA;8873873000110;7;uni;ERDV17;Atividades auxiliares ao transporte rodoviário;Oliveira Trust Dtvm SA;BB Banco de Investimento SA;Banco Bradesco SA;Não;350000000;2018-06-15;2025-06-15;2024-08-15;Pagamento anual nos dias 15-Jun. Primeiro em 15-Jun-2019 e última no vencimento;2 Parcelas iguais 50% em 15-Jun-2024 e 50% no vencimento;Quirografária;IPCA Spread;IPCA + 7,4438%
Ecorodovias Concessoes e Serv SA;8873873000110;8;1;ERDV18;Atividades auxiliares ao transporte rodoviário;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco Bradesco SA;Não;833675000;2019-04-15;2024-04-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2019 e último no vencimento.;Integral na data do vencimento.;Quirografária;DI Spread;DI + 1,30%
Ecorodovias Concessoes e Serv SA;8873873000110;8;3;ERDV38;Atividades auxiliares ao transporte rodoviário;Oliveira Trust Dtvm SA;Banco BTG Pactual SA;Banco Bradesco SA;Não;66325000;2019-04-15;2026-04-15;2026-08-15;Pagamento anual, no dia 15-Abr. Primeiro em 15-Abr-2020 e último no vencimento.;2 parcelas iguais em 15-Abr-2025 e no vencimento.;Quirografária;IPCA Spread;IPCA + 5,5031%
Edp Transmissão Aliança Sc SA;27831352000145;1;uni;EDPA11;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Itau BBA SA;Itau Unibanco SA;Sim;1200000000;2018-10-15;2028-10-15;2026-08-15;Pagamento Semestral. Nos dias 15-abr e 15-out. Primeiro em 15-abr-2019;Pagamento Semestral. Nos dias 15-abr e 15-out. Primeiro em 15-abr-2023;Garantia Real;IPCA Spread;IPCA + 6,72%
Edp Transmissão S/A;4705039000165;1;Uni;EDPT11;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco J Safra SA;Banco Citibank SA;Sim;115000000;2018-05-15;2033-05-15;2026-08-15;Pagamento semestral, nos dias 15-mai e 15-Nov. Primeiro em 15-mai-2021 e última no vencimento;Pagamento semestral, nos dias 15-mai e 15-Nov. Primeiro em 15-mai-2021 e última no vencimento;Garantia Real;IPCA Spread;IPCA + 7,0267%
Edte - Emp Diamantina de Trans de Energia S/A;24870962000160;2;uni;EDTE12;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Santander Brasil SA;Itau Unibanco SA;Sim;315000000;2018-12-15;2028-12-15;2026-08-15;Pagamento semestral. nos dias 15-jun e 15 Dez. Primeiro em 15-jun-2019 e última no vencimento;Pagamento semestral. nos dias 15-jun e 15 Dez. Primeiro em 15-jun-2023 e última no vencimento;Quirografária;IPCA Spread;IPCA + 5,2939%
Elektro;2328280000197;7;1;ELEK17;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;661275000;2018-05-15;2021-05-15;-;Pagamento semestral, nos dias 15-Nov e 15-Mai. Primeiro em 15-Nov-2018 e última no vencimento;Integral na data do vencimento;Quirografária;DI Percentual;109% do DI
Elektro;2328280000197;7;2;ELEK27;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Não;338725000;2018-05-15;2023-05-15;-;Pagamento Semestral. nos dias 15-mai e 15-nov. Primeiro em 15-nov-2018;Integral na data do vencimento;Quirografária;DI Percentual;112% do DI
Elektro;2328280000197;7;3;ELEK37;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;BB Banco de Investimento SA;Banco Bradesco SA;Sim;300000000;2018-05-15;2025-05-15;2024-08-15;Pagamento Semestral. nos dias 15-mai e 15-nov. Primeiro em 15-nov-2018;2 Parcelas: 50% em 15-mai-2024 e 50% no vencimento;Quirografária;IPCA Spread;IPCA + 5,9542%
Eletrobras;1180000126;2;1;ELET12;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Santander Brasil SA;Itau Unibanco SA;Não;1100000000;2019-04-25;2022-04-25;-;Pagamento Semestral. nos dias 15-nov e 15-Mai. Primeiro em 15-Nov-2019;Integral na data do vencimento;Quirografária;DI Spread;DI + 0,70%
Eletrobras;1180000126;2;2;ELET22;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Santander Brasil SA;Itau Unibanco SA;Não;2200000000;2019-04-25;2024-04-25;-;Pagamento semestral, nos dias 15-Mai e 15-Nov. Primeiro em 15-Nov-2019 e último no vencimento.;Integral na data do vencimento.;Quirografária;DI Spread;DI + 1,00%
Eletrobras;1180000126;2;3;ELET32;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Santander Brasil SA;Itau Unibanco SA;Não;1000000000;2019-04-25;2026-04-25;-;Pagamento semestral, nos dias 15-Mai e 15-Nov. Primeiro em 15-Nov-2019 e último no vencimento.;Integral na data do vencimento.;Quirografária;DI Spread;DI + 1,20%
Eletrobras;1180000126;2;4;ELET42;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Santander Brasil SA;Itau Unibanco SA;Sim;700000000;2019-04-25;2029-05-15;2028-08-15;Pagamento semestral, nos dias 15-Mai e 15-Nov. Primeiro em 15-Nov-2019 e último no vencimento.;3 parcelas: 33,3333% em 15-Mai-2027, 16,6667% em 15-Mai-2028 e 50% no vencimento.;Quirografária;IPCA Spread;IPCA + 5,1814%
Eletropaulo;61695227000193;23;1;ELPLA3;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Santander Brasil SA;Banco Bradesco SA;Não;704052000;2018-09-13;2021-09-13;-;Pagamento Sementral. nos dias 13-mar e 13-set. primeiro em 13-mar-2019;Integral na data do Vencimento;Quirografária;DI Percentual;108,25% do DI
Eletropaulo;61695227000193;23;2;ELPLB3;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Santander Brasil SA;Banco Bradesco SA;Não;1395948000;2018-09-13;2023-09-13;-;Pagamento semestral. nos dias 13-mar e 13-set. Primeiro em 13-mar-2019;2 parcelas: 50% em 13-set-2022 e 50% 13-mar-2023;Quirografária;DI Percentual;111,0% do DI
Eletropaulo;61695227000193;24;2;ELPLB4;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Bradesco Bbi SA;Banco Bradesco SA;Sim;800000000;2019-05-15;2026-05-15;2026-08-15;Pagamento Semestral. nos dias 15-nov e 15-mai. Primeiro em 15-nov-2019;Integral na data do vencimento;Quirografária;IPCA Spread;IPCA + 4,0134%
Empr Amazonense de Transm de Energia S/A;4416935000104;4;1;EATE14;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;159000000;2014-08-07;2020-08-07;-;Pagamento trimestral nos dias 07-Fev, 07-Mai, 07-Ago e 07-Nov. Primeiro em 07-Fev-2015.;Pagamento trimestral, nos dias 07-Ago, 07-Nov, 07-Fev e 07-Mai. Primeiro em 07-Ago-2016 e útilmo no vencimento.;Quirografária;DI Percentual;109,75% do DI
Empr Concess da Rodov Norte S/A;2222736000130;3;1;ECNT13;Atividades auxiliares ao transporte rodoviário;Planner Trustee DTVM Ltda;Banco Santander Brasil SA;Itau Unibanco SA;Não;246000000;2015-04-15;2021-04-15;-;Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2015 e último no vencimento.;9 parcelas semestrais, nos dias 15-Abr e 15-Out. Primeira em 15-Abr-2016 e última em 15-Abr-2019.;Quirografária;DI Spread;DI + 3,2%
Empreend Pague Menos S/A;6626253000151;4;uni;PGMN14;Loja de mercadorias variadas;Simplific Pavarini DTVM Ltda;XP Investimentos CCTVM SA;Itau Unibanco SA;Não;200000000;2019-02-11;2024-02-11;-;Pagamento mensal. Primeiro em 15-mar-2019;Pagamento Semestral. nos dias 15-fev e 15-ago. Primeiro em 15-fev-2022;Quirografária;DI Spread;DI + 1,95%
Empresa de Energia São Manoel S/A;18494537000110;4;uni;ESAM14;Geração, transmissão e distribuição de energia elétrica;Simplific Pavarini DTVM Ltda;Banco Abc Brasil SA;Banco Citibank SA;Sim;340000000;2018-08-15;2033-06-15;2026-08-15;Pagamento semestral, nos dias 15-dez e 15-jun. Primeiro em 15-dez-2018 e última no vencimento;Integral na data do vencimento;Garantia Real;IPCA Spread;IPCA + 7,3129%
Empresa Norte de Transm de Energia S/A;5321987000160;2;1;ENTE12;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;248000000;2014-08-07;2020-08-07;-;Pagamento trimestral nos dias 07-Fev, 07-Mai, 07-Ago e 07-Nov. Primeiro em 07-Fev-2015.;Pagamento trimestral, nos dias 07-Ago, 07-Nov, 07-Fev e 07-Mai. Primeiro em 07-Ago-2016 e último no vencimento.;Quirografária;DI Percentual;109,75% do DI
Enel Green Power Volta Grande SA;25176391000120;1;1;EGVG11;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;Oliveira Trust DTVM SA;Sim;519000000;2019-10-15;2029-10-15;2025-05-15;Pagamento Semestral. nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2020;Pagamento Anual. no dia 15-Out. Primeiro em 15-out-2020 e última no vencimento;Quirografária;IPCA Spread;IPCA + 3,70%
Enel Green Power Volta Grande SA;25176391000120;1;2;EGVG21;Geração, transmissão e distribuição de energia elétrica;Oliveira Trust Dtvm SA;Banco Itau BBA SA;-;Sim;281000000;2019-10-15;2029-10-15;2025-05-15;Pagamento anual. nos dias 15-Out. Primeiro em 15-Out-2020;Pagamento anual. nos dias 15-Out. Primeiro em 15-Out-2020;Quirografária;IPCA Spread;IPCA + 3,70%
Energias BR;3983431000103;4;2;ENBR24;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;HSBC Bank Brasil SA Banco Multiplo;Banco Bradesco SA;Sim;179887000;2015-09-15;2021-09-15;2020-08-15;Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Mar-2016 e último no vencimento.;Pagamento anual. Primeiro em 15-Set-2019.;Quirografária;IPCA Spread;IPCA + 8,3201%
Energias BR;3983431000103;4;3;ENBR34;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;HSBC Bank Brasil SA Banco Multiplo;Banco Bradesco SA;Sim;48066000;2015-09-15;2024-09-15;2023-05-15;Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Mar-2016 e último no vencimento.;Pagamento anual. Primeiro em 15-Set-2022.;Quirografária;IPCA Spread;IPCA + 8,2608%
Energias BR;3983431000103;5;1;ENBR15;Geração, transmissão e distribuição de energia elétrica;Planner Trustee DTVM Ltda;Banco J Safra SA;Banco Bradesco SA;Sim;250000000;2016-03-22;2022-04-15;2021-05-15;Pagamento Semestral. nos dias 15-abr e 15-Out. Primeiro em 15-out-2016;Pagamento anual. 50% em 15-Abr-2021 e 50% em 15-abr-2022;Quirografária;IPCA Spread;IPCA + 8,3479%
Energisa;864214000106;8;1;ENGI18;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;197518000;2017-06-15;2022-06-15;2022-08-15;Pagamento Anual. Primeiro em 15-Jun-2018;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,6%
Energisa;864214000106;8;2;ENGI28;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;177348000;2017-06-15;2024-06-15;2024-08-15;Pagamento Anual. Primeiro em 15-Jun-2018;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,6601%
Energisa;864214000106;9;1;ENGI19;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;61809000;2017-10-15;2022-10-15;2022-08-15;Pagamento anual. primeiro em 15-ago-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 4,4885%
Energisa;864214000106;9;2;ENGI29;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;11520000;2017-10-15;2024-10-15;2024-08-15;Pagamento anual. primeiro em 15-out-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 4,7110
Energisa;864214000106;9;3;ENGI39;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;21439000;2017-10-15;2027-10-15;2028-08-15;Pagamento anual. primeiro em 15-out-2018 e última no vencimento;Integral na data do Vencimento;Quirografária;IPCA Spread;IPCA + 5,1074%
Energisa;864214000106;9;4;ENGI49;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Não;755232000;2017-10-15;2022-10-15;-;Pagamento anual. primeiro em 15-out-2018 e última no vencimento;3 parcelas: 33,3333% em 15-Out-2020, 33,3333% em 15-Out-2021 e 33,334% em 15-Out-2022;Quirografária;DI Percentual;107,75% do DI
Energisa;864214000106;10;10;ENGI10;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Não;700000000;2018-06-20;2021-06-20;-;Pagamento semestral, nos dias 20-Dez e 20-Jun. Primeiro em 20-dez-2018 e ultima no vencimento;3 Parcelas iguais, 33,33% em 20-Jun-2019, 33,33% em 20-jun-2020 e 33,335 no vencimento;Quirografária;DI Spread;DI + 1,1%
Energisa;864214000106;11;uni;ENGIA1;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Banco Bradesco SA;Sim;500000000;2019-04-15;2026-04-15;2026-08-15;Pagamento anual, no dia 15-Abr. Primeiro em 15-Abr-2020 e último no vencimento.;Integral na data do vencimento.;Quirografária;IPCA Spread;IPCA + 4,6249%
Energisa Mt;3467321000199;8;uni;CEMT18;Geração, transmissão e distribuição de energia elétrica;Pentagono SA Dtvm;Banco Itau BBA SA;Itau Unibanco SA;Não;470000000;2018-02-15;2021-02-15;-;Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro em 15-ago-2018 e última no vencimento;Integral na data do vencimento;Quirografária;DI Spread;DI + 1,1%
